id_tempo,data,ano,mes,dia,trimestre,diaSemana,decada
12893,1977-09-03,1977,9,3,3,Saturday,1970
14749,1977-10-16,1977,10,16,4,Sunday,1970
9822,1980-02-08,1980,2,8,1,Friday,1980
14013,1980-02-19,1980,2,19,1,Tuesday,1980
11557,1980-03-15,1980,3,15,1,Saturday,1980
11733,1980-03-21,1980,3,21,1,Friday,1980
11588,1980-03-26,1980,3,26,1,Wednesday,1980
13459,1980-04-25,1980,4,25,2,Friday,1980
11618,1980-08-05,1980,8,5,3,Tuesday,1980
11587,1980-08-12,1980,8,12,3,Tuesday,1980
14037,1980-12-12,1980,12,12,4,Friday,1980
12384,1981-01-19,1981,1,19,1,Monday,1980
14109,1981-01-27,1981,1,27,1,Tuesday,1980
12679,1981-02-09,1981,2,9,1,Monday,1980
9847,1981-02-11,1981,2,11,1,Wednesday,1980
10000,1981-02-13,1981,2,13,1,Friday,1980
10044,1981-02-18,1981,2,18,1,Wednesday,1980
14397,1981-02-28,1981,2,28,1,Saturday,1980
12713,1981-04-08,1981,4,8,2,Wednesday,1980
11850,1981-04-27,1981,4,27,2,Monday,1980
11853,1981-05-26,1981,5,26,2,Tuesday,1980
9855,1981-05-30,1981,5,30,2,Saturday,1980
14490,1981-06-15,1981,6,15,2,Monday,1980
11556,1981-06-25,1981,6,25,2,Thursday,1980
13023,1981-06-27,1981,6,27,2,Saturday,1980
13703,1981-07-07,1981,7,7,3,Tuesday,1980
13891,1981-07-14,1981,7,14,3,Tuesday,1980
13953,1981-07-15,1981,7,15,3,Wednesday,1980
14084,1981-07-16,1981,7,16,3,Thursday,1980
13747,1981-07-18,1981,7,18,3,Saturday,1980
13331,1981-07-27,1981,7,27,3,Monday,1980
9866,1981-07-28,1981,7,28,3,Tuesday,1980
13944,1981-07-31,1981,7,31,3,Friday,1980
12870,1981-08-01,1981,8,1,3,Saturday,1980
13893,1981-08-05,1981,8,5,3,Wednesday,1980
13894,1981-08-10,1981,8,10,3,Monday,1980
13954,1981-08-12,1981,8,12,3,Wednesday,1980
13609,1981-08-13,1981,8,13,3,Thursday,1980
13564,1981-08-18,1981,8,18,3,Tuesday,1980
13333,1981-08-19,1981,8,19,3,Wednesday,1980
13924,1981-08-27,1981,8,27,3,Thursday,1980
14143,1981-08-28,1981,8,28,3,Friday,1980
13952,1981-08-29,1981,8,29,3,Saturday,1980
13898,1981-09-04,1981,9,4,3,Friday,1980
12857,1981-09-05,1981,9,5,3,Saturday,1980
12871,1981-09-07,1981,9,7,3,Monday,1980
11268,1981-09-08,1981,9,8,3,Tuesday,1980
13918,1981-09-09,1981,9,9,3,Wednesday,1980
9899,1981-09-15,1981,9,15,3,Tuesday,1980
13925,1981-09-16,1981,9,16,3,Wednesday,1980
13058,1981-09-17,1981,9,17,3,Thursday,1980
13900,1981-09-20,1981,9,20,3,Sunday,1980
13610,1981-09-22,1981,9,22,3,Tuesday,1980
13702,1981-09-24,1981,9,24,3,Thursday,1980
13704,1981-09-25,1981,9,25,3,Friday,1980
13923,1981-09-29,1981,9,29,3,Tuesday,1980
14334,1981-10-02,1981,10,2,4,Friday,1980
13067,1981-10-03,1981,10,3,4,Saturday,1980
14082,1981-10-05,1981,10,5,4,Monday,1980
13692,1981-10-06,1981,10,6,4,Tuesday,1980
14145,1981-10-07,1981,10,7,4,Wednesday,1980
9523,1981-10-11,1981,10,11,4,Sunday,1980
14018,1981-10-14,1981,10,14,4,Wednesday,1980
13346,1981-10-17,1981,10,17,4,Saturday,1980
13454,1981-10-23,1981,10,23,4,Friday,1980
13942,1981-10-26,1981,10,26,4,Monday,1980
13350,1981-10-29,1981,10,29,4,Thursday,1980
13943,1981-10-30,1981,10,30,4,Friday,1980
14087,1981-11-03,1981,11,3,4,Tuesday,1980
14105,1981-11-06,1981,11,6,4,Friday,1980
14073,1981-11-09,1981,11,9,4,Monday,1980
13234,1981-11-14,1981,11,14,4,Saturday,1980
14396,1981-11-25,1981,11,25,4,Wednesday,1980
14020,1981-11-26,1981,11,26,4,Thursday,1980
13945,1981-12-01,1981,12,1,4,Tuesday,1980
13878,1981-12-03,1981,12,3,4,Thursday,1980
13933,1981-12-08,1981,12,8,4,Tuesday,1980
14329,1981-12-09,1981,12,9,4,Wednesday,1980
13934,1981-12-10,1981,12,10,4,Thursday,1980
9844,1981-12-11,1981,12,11,4,Friday,1980
9845,1981-12-12,1981,12,12,4,Saturday,1980
14099,1981-12-14,1981,12,14,4,Monday,1980
13879,1981-12-15,1981,12,15,4,Tuesday,1980
9846,1981-12-16,1981,12,16,4,Wednesday,1980
13973,1981-12-21,1981,12,21,4,Monday,1980
13068,1981-12-23,1981,12,23,4,Wednesday,1980
13734,1981-12-28,1981,12,28,4,Monday,1980
14032,1982-01-05,1982,1,5,1,Tuesday,1980
14095,1982-01-08,1982,1,8,1,Friday,1980
14074,1982-01-11,1982,1,11,1,Monday,1980
13935,1982-01-15,1982,1,15,1,Friday,1980
13936,1982-01-18,1982,1,18,1,Monday,1980
13705,1982-01-19,1982,1,19,1,Tuesday,1980
13940,1982-01-22,1982,1,22,1,Friday,1980
13913,1982-01-24,1982,1,24,1,Sunday,1980
13914,1982-01-27,1982,1,27,1,Wednesday,1980
13941,1982-01-30,1982,1,30,1,Saturday,1980
13931,1982-02-04,1982,2,4,1,Thursday,1980
13915,1982-02-05,1982,2,5,1,Friday,1980
13899,1982-02-08,1982,2,8,1,Monday,1980
13797,1982-02-09,1982,2,9,1,Tuesday,1980
13699,1982-02-10,1982,2,10,1,Wednesday,1980
12883,1982-02-12,1982,2,12,1,Friday,1980
14129,1982-02-15,1982,2,15,1,Monday,1980
13727,1982-02-16,1982,2,16,1,Tuesday,1980
13947,1982-02-17,1982,2,17,1,Wednesday,1980
14086,1982-02-18,1982,2,18,1,Thursday,1980
12342,1982-02-19,1982,2,19,1,Friday,1980
14120,1982-02-25,1982,2,25,1,Thursday,1980
13651,1982-03-11,1982,3,11,1,Thursday,1980
13916,1982-03-12,1982,3,12,1,Friday,1980
13728,1982-03-18,1982,3,18,1,Thursday,1980
14091,1982-03-19,1982,3,19,1,Friday,1980
13897,1982-03-23,1982,3,23,1,Tuesday,1980
14130,1982-03-25,1982,3,25,1,Thursday,1980
14132,1982-03-26,1982,3,26,1,Friday,1980
14144,1982-04-02,1982,4,2,2,Friday,1980
13888,1982-04-05,1982,4,5,2,Monday,1980
13917,1982-04-07,1982,4,7,2,Wednesday,1980
13950,1982-04-08,1982,4,8,2,Thursday,1980
14101,1982-04-11,1982,4,11,2,Sunday,1980
12881,1982-04-13,1982,4,13,2,Tuesday,1980
9904,1982-04-14,1982,4,14,2,Wednesday,1980
14068,1982-04-24,1982,4,24,2,Saturday,1980
13071,1982-04-26,1982,4,26,2,Monday,1980
13949,1982-04-27,1982,4,27,2,Tuesday,1980
13921,1982-04-29,1982,4,29,2,Thursday,1980
13103,1982-05-03,1982,5,3,2,Monday,1980
10114,1982-05-04,1982,5,4,2,Tuesday,1980
10128,1982-05-05,1982,5,5,2,Wednesday,1980
13890,1982-05-06,1982,5,6,2,Thursday,1980
13889,1982-05-07,1982,5,7,2,Friday,1980
12882,1982-05-09,1982,5,9,2,Sunday,1980
10133,1982-05-10,1982,5,10,2,Monday,1980
13433,1982-05-12,1982,5,12,2,Wednesday,1980
12875,1982-05-13,1982,5,13,2,Thursday,1980
14075,1982-05-14,1982,5,14,2,Friday,1980
14088,1982-05-15,1982,5,15,2,Saturday,1980
13072,1982-05-17,1982,5,17,2,Monday,1980
13939,1982-05-20,1982,5,20,2,Thursday,1980
13901,1982-05-21,1982,5,21,2,Friday,1980
14096,1982-05-24,1982,5,24,2,Monday,1980
12341,1982-05-26,1982,5,26,2,Wednesday,1980
12869,1982-06-02,1982,6,2,2,Wednesday,1980
14047,1982-06-03,1982,6,3,2,Thursday,1980
13946,1982-06-07,1982,6,7,2,Monday,1980
14098,1982-06-09,1982,6,9,2,Wednesday,1980
14070,1982-06-10,1982,6,10,2,Thursday,1980
14048,1982-06-11,1982,6,11,2,Friday,1980
12305,1982-06-16,1982,6,16,2,Wednesday,1980
13652,1982-06-21,1982,6,21,2,Monday,1980
14089,1982-06-22,1982,6,22,2,Tuesday,1980
14085,1982-06-28,1982,6,28,2,Monday,1980
14071,1982-06-29,1982,6,29,2,Tuesday,1980
13707,1982-07-01,1982,7,1,3,Thursday,1980
14332,1982-07-05,1982,7,5,3,Monday,1980
13911,1982-07-07,1982,7,7,3,Wednesday,1980
13493,1982-07-08,1982,7,8,3,Thursday,1980
10413,1982-07-09,1982,7,9,3,Friday,1980
13150,1982-07-10,1982,7,10,3,Saturday,1980
14081,1982-07-14,1982,7,14,3,Wednesday,1980
14059,1982-07-16,1982,7,16,3,Friday,1980
14076,1982-07-17,1982,7,17,3,Saturday,1980
13912,1982-07-18,1982,7,18,3,Sunday,1980
10024,1982-07-20,1982,7,20,3,Tuesday,1980
14107,1982-07-21,1982,7,21,3,Wednesday,1980
12894,1982-07-23,1982,7,23,3,Friday,1980
14333,1982-07-27,1982,7,27,3,Tuesday,1980
14133,1982-07-28,1982,7,28,3,Wednesday,1980
12937,1982-08-03,1982,8,3,3,Tuesday,1980
10140,1982-08-04,1982,8,4,3,Wednesday,1980
10143,1982-08-05,1982,8,5,3,Thursday,1980
13123,1982-08-06,1982,8,6,3,Friday,1980
13107,1982-08-08,1982,8,8,3,Sunday,1980
10135,1982-08-10,1982,8,10,3,Tuesday,1980
10136,1982-08-11,1982,8,11,3,Wednesday,1980
10137,1982-08-12,1982,8,12,3,Thursday,1980
13111,1982-08-13,1982,8,13,3,Friday,1980
13134,1982-08-14,1982,8,14,3,Saturday,1980
13108,1982-08-16,1982,8,16,3,Monday,1980
14336,1982-08-17,1982,8,17,3,Tuesday,1980
12972,1982-08-19,1982,8,19,3,Thursday,1980
13012,1982-08-21,1982,8,21,3,Saturday,1980
10147,1982-08-23,1982,8,23,3,Monday,1980
12688,1982-08-25,1982,8,25,3,Wednesday,1980
12686,1982-08-26,1982,8,26,3,Thursday,1980
12956,1982-08-27,1982,8,27,3,Friday,1980
12689,1982-08-30,1982,8,30,3,Monday,1980
13088,1982-09-02,1982,9,2,3,Thursday,1980
13090,1982-09-03,1982,9,3,3,Friday,1980
13078,1982-09-04,1982,9,4,3,Saturday,1980
13044,1982-09-05,1982,9,5,3,Sunday,1980
12925,1982-09-06,1982,9,6,3,Monday,1980
13112,1982-09-08,1982,9,8,3,Wednesday,1980
12684,1982-09-09,1982,9,9,3,Thursday,1980
12909,1982-09-10,1982,9,10,3,Friday,1980
13087,1982-09-11,1982,9,11,3,Saturday,1980
13100,1982-09-12,1982,9,12,3,Sunday,1980
12910,1982-09-13,1982,9,13,3,Monday,1980
12683,1982-09-14,1982,9,14,3,Tuesday,1980
10141,1982-09-15,1982,9,15,3,Wednesday,1980
13019,1982-09-16,1982,9,16,3,Thursday,1980
13085,1982-09-20,1982,9,20,3,Monday,1980
12712,1982-09-23,1982,9,23,3,Thursday,1980
10139,1982-09-24,1982,9,24,3,Friday,1980
12693,1982-09-25,1982,9,25,3,Saturday,1980
13116,1982-09-27,1982,9,27,3,Monday,1980
10144,1982-09-28,1982,9,28,3,Tuesday,1980
12936,1982-09-29,1982,9,29,3,Wednesday,1980
12685,1982-10-01,1982,10,1,4,Friday,1980
13049,1982-10-02,1982,10,2,4,Saturday,1980
13041,1982-10-03,1982,10,3,4,Sunday,1980
12908,1982-10-04,1982,10,4,4,Monday,1980
12957,1982-10-05,1982,10,5,4,Tuesday,1980
13086,1982-10-07,1982,10,7,4,Thursday,1980
13042,1982-10-08,1982,10,8,4,Friday,1980
