pk_local,uf,nome_estado,municipio,regiao
1,AC,Acre,XAPURI,Norte
2,AC,Acre,MANOEL URBANO,Norte
3,AC,Acre,PORTO ACRE,Norte
4,AC,Acre,BRASILEIA,Norte
5,AC,Acre,RODRIGUES ALVES,Norte
6,AC,Acre,FEIJO,Norte
7,AC,Acre,MARECHAL THAUMATURGO,Norte
8,AC,Acre,JORDAO,Norte
9,AC,Acre,RIO BRANCO,Norte
10,AC,Acre,ASSIS BRASIL,Norte
11,AC,Acre,CRUZEIRO DO SUL,Norte
12,AC,Acre,SANTA ROSA DO PURUS,Norte
13,AC,Acre,ACRELANDIA,Norte
14,AC,Acre,SENA MADUREIRA,Norte
15,AC,Acre,PLACIDO DE CASTRO,Norte
16,AC,Acre,MANCIO LIMA,Norte
17,AC,Acre,TARAUACA,Norte
18,AC,Acre,CAPIXABA,Norte
19,AC,Acre,BUJARI,Norte
20,AC,Acre,SENADOR GUIOMARD,Norte
21,AC,Acre,EPITACIOLANDIA,Norte
22,AC,Acre,PORTO WALTER,Norte
23,AL,Alagoas,MACEIO,Nordeste
24,AL,Alagoas,PIACABUCU,Nordeste
25,AL,Alagoas,PORTO DE PEDRAS,Nordeste
26,AL,Alagoas,PASSO DE CAMARAGIBE,Nordeste
27,AL,Alagoas,PILAR,Nordeste
28,AL,Alagoas,RIO LARGO,Nordeste
29,AL,Alagoas,BELO MONTE,Nordeste
30,AL,Alagoas,OLHO D'AGUA DO CASADO,Nordeste
31,AL,Alagoas,SATUBA,Nordeste
32,AL,Alagoas,SAO MIGUEL DOS MILAGRES,Nordeste
33,AL,Alagoas,JAPARATINGA,Nordeste
34,AL,Alagoas,MARIBONDO,Nordeste
35,AL,Alagoas,PIRANHAS,Nordeste
36,AL,Alagoas,TRAIPU,Nordeste
37,AL,Alagoas,MARECHAL DEODORO,Nordeste
38,AL,Alagoas,SAO BRAS,Nordeste
39,AL,Alagoas,MAJOR ISIDORO,Nordeste
40,AL,Alagoas,MARAGOGI,Nordeste
41,AL,Alagoas,JARAMATAIA,Nordeste
42,AL,Alagoas,UNIAO DOS PALMARES,Nordeste
43,AL,Alagoas,BATALHA,Nordeste
44,AL,Alagoas,CORURIPE,Nordeste
45,AL,Alagoas,BARRA DE SANTO ANTONIO,Nordeste
46,AL,Alagoas,ARAPIRACA,Nordeste
47,AL,Alagoas,DELMIRO GOUVEIA,Nordeste
48,AL,Alagoas,JOAQUIM GOMES,Nordeste
49,AL,Alagoas,MAR VERMELHO,Nordeste
50,AL,Alagoas,BARRA DE SAO MIGUEL,Nordeste
51,AL,Alagoas,SAO MIGUEL DOS CAMPOS,Nordeste
52,AL,Alagoas,CRAIBAS,Nordeste
53,AL,Alagoas,MATA GRANDE,Nordeste
54,AL,Alagoas,IGACI,Nordeste
55,AL,Alagoas,MURICI,Nordeste
56,AL,Alagoas,FLEXEIRAS,Nordeste
57,AL,Alagoas,BOCA DA MATA,Nordeste
58,AL,Alagoas,COLONIA LEOPOLDINA,Nordeste
